,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
248,-4,0,2,1,E2,4,2,DC.00.000,5.0,J1,30,0.005570199740407434,65.99897610751749,0.367631281769711,49.212161684082254,227.51438736648137,232.77592941789663,1.3577745789034,34
224,-4,1,2,1,F3,5,3,DC.00.001,5.0,J1,24,0.011140399480814868,65.99590446183831,0.7352511570271268,35.53869155668115,230.04695409591034,232.77585718103757,1.417523459381015,34
201,-4,2,2,1,E4,4,4,DC.00.002,5.0,J1,20,0.016710599221222304,65.99078515826656,1.1028482196138631,21.73835752723755,231.758522688757,232.77579132473613,1.4772725131723718,34
200,-4,3,2,1,E3,4,3,DC.00.003,5.0,J1,27,0.022280798961629735,65.9836183556391,1.470411064079344,7.8604890552180136,232.64300962629542,232.77576595549587,1.537021403140758,34
229,-4,4,2,1,F8,5,8,DC.00.004,5.0,J1,1,0.02785099870203717,65.97440427632063,1.8379282860346822,-6.045457679011075,232.69745914842045,232.77597610724246,1.5967703881943858,34
228,-4,5,2,1,F7,5,7,DC.00.005,5.0,J1,4,0.03342119844244461,65.9631432061968,2.2053884825065215,-19.92981906335565,231.92103986695832,232.77578572710127,1.6565193704986658,34
227,-4,6,2,1,F6,5,6,DC.00.006,5.0,J1,11,0.03899139818285204,65.94983549466535,2.5727802522908383,-33.74304222809539,230.31704811037827,232.7757194148164,1.7162683248449206,34
226,-4,7,2,1,F5,5,5,DC.00.007,5.0,J1,14,0.04456159792325947,65.93448155462524,2.940092196306685,-47.435878196140884,227.891250517825,232.7758247817354,1.7760173247171083,34
249,-3,0,2,1,F2,5,2,DC.01.000,5.0,J1,31,0.005570199740407434,66.99896059399502,0.3732014527056157,53.99484300106589,249.62523293958557,255.39812057032077,1.3577744728911112,34
225,-3,1,2,1,F4,5,4,DC.01.001,5.0,J1,21,0.011140399480814868,66.9958424082298,0.7463913260729924,38.99250116026388,252.40398380768568,255.39809354950876,1.4175234796284264,34
177,-3,2,2,1,D4,3,4,DC.01.002,5.0,J1,23,0.016710599221222304,66.99064553945243,1.119558041123164,23.85102689316505,254.28197938350192,255.39811378130844,1.4772724092742089,34
176,-3,3,2,1,D3,3,3,DC.01.003,5.0,J1,26,0.022280798961629735,66.98337014890636,1.4926900195956976,8.624409106879881,255.25244419029036,255.3981023765841,1.5370214124426573,34
205,-3,4,2,1,E8,4,8,DC.01.004,5.0,J1,0,0.02785099870203717,66.9740164623255,1.865775684307935,-6.632980549958958,255.31199247021092,255.3981400286329,1.5967703860940468,34
204,-3,5,2,1,E7,4,7,DC.01.005,5.0,J1,7,0.03342119844244461,66.96258476992706,2.238803459514196,-21.866693061305543,254.46029639885137,255.3981102295564,1.656519345724989,34
203,-3,6,2,1,E6,4,6,DC.01.006,5.0,J1,10,0.03899139818285204,66.9490754264027,2.6117617712649417,-37.02237645018324,252.70047086695322,255.3980899192454,1.716268355097231,34
202,-3,7,2,1,E5,4,5,DC.01.007,5.0,J1,17,0.04456159792325947,66.93348885090744,2.984639047765877,-52.045922219087586,250.0388176569445,255.39809779032822,1.776017314627697,34
130,-2,0,2,1,B5,1,5,DC.02.000,5.0,J1,18,0.005570199740407434,67.99894508047257,0.37877162364152045,58.777522497768715,271.7362264443863,278.02045592583744,1.3577745030216979,34
132,-2,1,2,1,B7,1,7,DC.02.001,5.0,J1,8,0.011140399480814868,67.99578035462129,0.757531495118858,42.44632461211816,274.7610481113273,278.0203662185783,1.4175234663504175,34
153,-2,2,2,1,C4,2,4,DC.02.002,5.0,J1,22,0.016710599221222304,67.99050592063828,1.136267862632465,25.96365255358252,276.8053177904558,278.02031438547505,1.477272439066689,34
152,-2,3,2,1,C3,2,3,DC.02.003,5.0,J1,29,0.022280798961629735,67.98312194217361,1.5149689751120512,9.388330528715187,277.8619446456003,278.02050469767704,1.5370214233084571,34
181,-2,4,2,1,D8,3,8,DC.02.004,5.0,J1,3,0.02785099870203717,67.97362864833035,1.8936230825811877,-7.220508458963146,277.92654640247065,278.0203246843846,1.5967704005252619,34
180,-2,5,2,1,D7,3,7,DC.02.005,5.0,J1,6,0.03342119844244461,67.96202633365732,2.2722184365218707,-23.803587030100406,276.999504196219,278.0203878863036,1.6565194115595727,34
179,-2,6,2,1,D6,3,6,DC.02.006,5.0,J1,13,0.03899139818285204,67.94831535814006,2.6507432902390455,-40.3017122212131,275.083957531279,278.0205238809394,1.7162683526173779,34
178,-2,7,2,1,D5,3,5,DC.02.007,5.0,J1,16,0.04456159792325947,67.93249614718964,3.0291858992250695,-56.65598455653785,272.18647305007175,278.02046093319836,1.7760173059841193,34
131,-1,0,2,1,B6,1,6,DC.03.000,5.0,J1,15,0.005570199740407434,68.9989295669501,0.3843417945774252,63.5602095526092,293.8472106664949,300.64278380638217,1.3577744975184995,34
133,-1,1,2,1,B8,1,8,DC.03.001,5.0,J1,5,0.011140399480814868,68.99571830101279,0.7686716641647235,45.900155910390126,297.11822743546895,300.642753757667,1.4175234876879186,34
129,-1,2,2,1,B4,1,4,DC.03.002,5.0,J1,25,0.016710599221222304,68.99036630182414,1.1529776841417658,28.07631279035347,299.32893627384635,300.6427970710992,1.4772724368692747,34
128,-1,3,2,1,B3,1,3,DC.03.003,5.0,J1,28,0.022280798961629735,68.98287373544088,1.537247930628405,10.152249507875998,300.47127552867767,300.642737460762,1.5370214216127205,34
157,-1,4,2,1,C8,2,8,DC.03.004,5.0,J1,2,0.02785099870203717,68.9732408343352,1.9214704808544405,-7.808040048101561,300.54143320126263,300.6428421899676,1.5967703962666229,34
156,-1,5,2,1,C7,2,7,DC.03.005,5.0,J1,9,0.03342119844244461,68.96146789738756,2.305633413529545,-25.740469963502758,299.5389183774377,300.6428702242368,1.6565193721405673,34
155,-1,6,2,1,C6,2,6,DC.03.006,5.0,J1,12,0.03899139818285204,68.94755528987741,2.689724809213149,-43.58099665976931,297.4672419226998,300.64275026508926,1.7162682791007122,34
154,-1,7,2,1,C5,2,5,DC.03.007,5.0,J1,19,0.04456159792325947,68.93150344347184,3.0737327506842615,-61.266028778319495,294.3339906459777,300.64268547871296,1.7760173330518616,34
26,0,0,1,1,C5,2,5,ZZ.00.000,5.0,J2,147,0.005570199740407434,69.99891405342764,0.38991196551332985,77.58165857111011,305.2797941358804,314.9835971194212,1.3219316149281413,62
1,0,1,1,1,B4,1,4,ZZ.00.001,5.0,J2,153,0.011140399480814868,69.99565624740427,0.7798118332105891,75.96036269800426,305.6872417244094,314.98359711942123,1.3272389129403122,122
385,0,2,4,1,B4,1,4,ZZ.00.002,4.0,J1,25,0.016710599221222304,69.99022668301,1.169687505651067,74.3369272230744,306.0860789146105,314.9835971194211,1.3325462109524833,122
410,0,3,4,1,C5,2,5,ZZ.00.003,4.0,J1,19,0.022280798961629735,69.98262552870813,1.5595268861447587,72.71139787418943,306.4762944722987,314.9835971194212,1.3378535089646544,122
388,0,4,4,1,B7,1,7,ZZ.00.004,4.0,J1,8,0.02785099870203717,69.97285302034007,1.9493178791276933,71.08382043819714,306.8578774061373,314.9835971194212,1.3431608069768253,122
413,0,5,4,1,C8,2,8,ZZ.00.005,4.0,J1,2,0.03342119844244461,69.96090946111782,2.33904839053722,69.45424075963436,307.2308169679477,314.9835971194212,1.3484681049889962,122
135,0,6,2,1,B11,1,11,ZZ.00.006,5.0,J1,57,0.03899139818285204,69.94679522161476,2.728706328187253,67.8227047394358,307.59510265301225,314.9835971194212,1.3537754030011673,122
160,0,7,2,1,C12,2,12,ZZ.00.007,5.0,J1,51,0.04456159792325947,69.93051073975404,3.1182796021434536,66.18925833364123,307.95072420037,314.98359711942123,1.3590827010133384,122
138,0,8,2,1,B14,1,14,ZZ.00.008,5.0,J1,40,0.05013179766366691,69.912056520795,3.507756125098353,64.55394755210092,308.29767159310563,314.9835971194211,1.3643899990255093,122
163,0,9,2,1,C15,2,15,ZZ.00.009,5.0,J1,34,0.05570199740407434,69.89143313731752,3.8971238127463734,62.916818457179524,308.63593505863207,314.9835971194212,1.3696972970376802,122
141,0,10,2,1,B18,1,18,ZZ.00.010,5.0,J1,89,0.061272197144481774,69.86864122920423,4.28637058415878,61.27791716245875,308.96550506896506,314.9835971194212,1.3750045950498513,122
166,0,11,2,1,C19,2,19,ZZ.00.011,5.0,J1,83,0.06684239688488922,69.84368150362072,4.6754843621585085,59.637289831438615,309.28637234099216,314.98359711942123,1.3803118930620224,122
144,0,12,2,1,B21,1,21,ZZ.00.012,5.0,J1,72,0.07241259662529664,69.81655473499349,5.064453073694887,57.994982676237015,309.59852783673375,314.9835971194212,1.3856191910741933,122
169,0,13,2,1,C22,2,22,ZZ.00.013,5.0,J1,66,0.07798279636570409,69.78726176498603,5.453264650218232,56.351041956287865,309.9019627635981,314.98359711942123,1.3909264890863642,122
147,0,14,2,1,B25,1,25,ZZ.00.014,5.0,J1,121,0.08355299610611151,69.75580350247262,5.841907028054286,54.70551397703829,310.19666857462846,314.9835971194212,1.3962337870985353,122
172,0,15,2,1,C26,2,26,ZZ.00.015,5.0,J1,115,0.08912319584651894,69.72218092351018,6.2303681487785365,53.0584450886444,310.48263696874443,314.9835971194212,1.4015410851107064,122
150,0,16,2,1,B28,1,28,ZZ.00.016,5.0,J1,104,0.09469339558692638,69.68639507130798,6.618635959590339,51.40988168466567,310.7598598909751,314.9835971194211,1.4068483831228773,122
175,0,17,2,1,C29,2,29,ZZ.00.017,5.0,J1,98,0.10026359532733382,69.64844705619528,7.006698413686884,49.759870200757945,311.0283295326867,314.9835971194212,1.4121556811350482,122
391,0,18,4,1,B11,1,11,ZZ.00.018,4.0,J1,57,0.10583379506774125,69.60833805558686,7.3945434706369735,48.10845711336566,311.2880383318018,314.9835971194212,1.4174629791472193,122
416,0,19,4,1,C12,2,12,ZZ.00.019,4.0,J1,51,0.11140399480814868,69.56606931394643,7.782159096754603,46.45568893841282,311.5389789730127,314.9835971194212,1.4227702771593904,122
394,0,20,4,1,B14,1,14,ZZ.00.020,4.0,J1,40,0.11697419454855612,69.52164214274819,8.169533265472328,44.80161222999265,311.78114438798764,314.9835971194212,1.4280775751715613,122
419,0,21,4,1,C15,2,15,ZZ.00.021,4.0,J1,34,0.12254439428896355,69.47505792043594,8.556653957714412,43.14627357905617,312.01452775556953,314.9835971194212,1.4333848731837322,122
397,0,22,4,1,B18,1,18,ZZ.00.022,4.0,J1,89,0.12811459402937098,69.42631809238048,8.943509162269745,41.48971961209994,312.2391225019683,314.98359711942123,1.4386921711959033,122
422,0,23,4,1,C19,2,19,ZZ.00.023,4.0,J1,83,0.13368479376977843,69.3754241708346,9.330086876164518,39.83199698985293,312.45492230094595,314.9835971194212,1.4439994692080744,122
400,0,24,4,1,B21,1,21,ZZ.00.024,4.0,J1,72,0.13925499351018586,69.32237773488633,9.716375105034635,38.173152405961986,312.6619210739949,314.9835971194211,1.4493067672202453,122
425,0,25,4,1,C22,2,22,ZZ.00.025,4.0,J1,66,0.1448251932505933,69.26718043040978,10.102361863497862,36.513232585676526,312.8601129905091,314.9835971194212,1.4546140652324162,122
403,0,26,4,1,B25,1,25,ZZ.00.026,4.0,J1,121,0.15039539299100071,69.20983397001423,10.488035175525704,34.85228428453251,313.0494924679482,314.9835971194212,1.4599213632445873,122
428,0,27,4,1,C26,2,26,ZZ.00.027,4.0,J1,115,0.15596559273140817,69.15034013299086,10.87338307481499,33.1903542870356,313.23005417199494,314.9835971194212,1.4652286612567584,122
406,0,28,4,1,B28,1,28,ZZ.00.028,4.0,J1,104,0.1615357924718156,69.08870076525764,11.258393605159128,31.527489405343278,313.4017930167053,314.9835971194212,1.4705359592689293,122
431,0,29,4,1,C29,2,29,ZZ.00.029,4.0,J1,98,0.16710599221222303,69.024917779302,11.643054820819101,29.86373647794606,313.56470416465186,314.9835971194212,1.4758432572811002,122
650,0,30,6,1,B14,1,14,ZZ.00.030,3.0,J1,40,0.17267619195263045,68.9589931541215,12.027354786894088,28.19914236834835,313.7187830270598,314.9835971194212,1.4811505552932713,122
675,0,31,6,1,C15,2,15,ZZ.00.031,3.0,J1,34,0.17824639169303788,68.89092893516245,12.41128157969178,26.533753963748595,313.8640252639367,314.9835971194212,1.4864578533054424,122
653,0,32,6,1,B18,1,18,ZZ.00.032,3.0,J1,89,0.18381659143344534,68.82072723425645,12.794823287098327,24.86761817371839,314.000426784194,314.9835971194212,1.4917651513176133,122
678,0,33,6,1,C19,2,19,ZZ.00.033,3.0,J1,83,0.18938679117385276,68.74839022955479,13.177968008947943,23.200781928881074,314.127983745763,314.9835971194212,1.4970724493297842,122
656,0,34,6,1,B21,1,21,ZZ.00.034,3.0,J1,72,0.1949569909142602,68.673920165461,13.560703857392129,21.533292179589928,314.24669255570257,314.9835971194212,1.5023797473419553,122
