,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
129,0,0,2,1,B4,1,4,ZZ.00.000,11.0,J1,25,0.00272707695624114,69.99973970695594,0.190895150323767,147.5942133175417,570.3210573613042,589.1096334932404,1.3175606262794073,73
152,0,1,2,1,C3,2,3,ZZ.00.001,11.0,J1,29,0.00545415391248228,69.99895882975952,0.38178888097096897,146.08153042881753,570.7103877993762,589.1096334932404,1.320212055403381,140
181,0,2,2,1,D8,3,8,ZZ.00.002,11.0,J1,3,0.008181230868723419,69.99765737421808,0.572679772275599,144.5678205763755,571.0957061021707,589.1096334932404,1.3228634845273546,140
204,0,3,2,1,E7,4,7,ZZ.00.003,11.0,J1,7,0.01090830782496456,69.99583535001048,0.7635664045927661,143.05309440170538,571.4770095608718,589.1096334932404,1.3255149136513282,140
227,0,4,2,1,F6,5,6,ZZ.00.004,11.0,J1,11,0.013635384781205698,69.99349277068703,0.9544473583092531,141.53736255344154,571.8542954948888,589.1096334932403,1.3281663427753019,140
130,0,5,2,1,B5,1,5,ZZ.00.005,11.0,J1,18,0.016362461737446838,69.99062965366933,1.1453212138540747,140.02063568728852,572.2275612518744,589.1096334932404,1.3308177718992755,140
153,0,6,2,1,C4,2,4,ZZ.00.006,11.0,J1,22,0.019089538693687978,69.98724602025023,1.3361865517090334,138.5029244659458,572.5968042077432,589.1096334932404,1.3334692010232492,140
176,0,7,2,1,D3,3,3,ZZ.00.007,11.0,J1,26,0.02181661564992912,69.98334189559364,1.5270419524192784,136.98423955903294,572.9620217666904,589.1096334932404,1.3361206301472228,140
205,0,8,2,1,E8,4,8,ZZ.00.008,11.0,J1,0,0.02454369260617026,69.9789173087343,1.7178859966038602,135.46459164301464,573.3232113612106,589.1096334932404,1.3387720592711965,140
228,0,9,2,1,F7,5,7,ZZ.00.009,11.0,J1,4,0.027270769562411395,69.97397229257761,1.9087172649662867,133.94399140112557,573.6803704521144,589.1096334932404,1.3414234883951701,140
131,0,10,2,1,B6,1,6,ZZ.00.010,11.0,J1,15,0.029997846518652536,69.96850688389941,2.09953433830508,132.42244952329534,574.0334965285479,589.1096334932404,1.3440749175191438,140
154,0,11,2,1,C5,2,5,ZZ.00.011,11.0,J1,19,0.032724923474893676,69.9625211233456,2.2903357975243295,130.89997670607337,574.3825871080089,589.1096334932404,1.3467263466431174,140
177,0,12,2,1,D4,3,4,ZZ.00.012,11.0,J1,23,0.03545200043113481,69.95601505543196,2.481120223644245,129.37658365255356,574.7276397363657,589.1096334932404,1.349377775767091,140
200,0,13,2,1,E3,4,3,ZZ.00.013,11.0,J1,27,0.038179077387375956,69.94898872854377,2.6718861978117125,127.85228107229922,575.0686519878733,589.1096334932404,1.3520292048910647,140
229,0,14,2,1,F8,5,8,ZZ.00.014,11.0,J1,1,0.04090615434361709,69.94144219493542,2.8626323013108412,126.32707968126766,575.405621465191,589.1096334932404,1.3546806340150384,140
249,0,15,2,1,F2,5,2,ZZ.00.015,11.0,J1,31,0.04363323129985824,69.93337551073004,3.05335711557352,124.80099020173489,575.7385457993988,589.1096334932404,1.357332063139012,140
385,0,16,4,1,B4,1,4,ZZ.00.016,10.0,J1,25,0.046360308256099374,69.92478873591914,3.244059222189963,123.27402336222026,576.0674226500148,589.1096334932404,1.3599834922629856,140
408,0,17,4,1,C3,2,3,ZZ.00.017,10.0,J1,29,0.04908738521234052,69.91568193436207,3.434737202919261,121.74618989741104,576.3922497050108,589.1096334932404,1.3626349213869593,140
437,0,18,4,1,D8,3,8,ZZ.00.018,10.0,J1,3,0.051814462168581654,69.9060551737856,3.6253896396999266,120.2175005480869,576.7130246808292,589.1096334932404,1.365286350510933,140
460,0,19,4,1,E7,4,7,ZZ.00.019,10.0,J1,7,0.05454153912482279,69.89590852578341,3.816015114660442,118.68796606104448,577.0297453223988,589.1096334932404,1.3679377796349066,140
483,0,20,4,1,F6,5,6,ZZ.00.020,10.0,J1,11,0.057268616081063935,69.88524206581558,4.006612210129803,117.15759718902177,577.3424094031504,589.1096334932404,1.3705892087588802,140
386,0,21,4,1,B5,1,5,ZZ.00.021,10.0,J1,18,0.05999569303730507,69.87405587320794,4.1971795086480626,115.62640469062255,577.6510147250331,589.1096334932404,1.3732406378828539,140
409,0,22,4,1,C4,2,4,ZZ.00.022,10.0,J1,22,0.06272276999354622,69.86235003115159,4.387715592976869,114.09439933024078,577.9555591185291,589.1096334932404,1.3758920670068275,140
432,0,23,4,1,D3,3,3,ZZ.00.023,10.0,J1,26,0.06544984694978735,69.85012462670224,4.578219046110014,112.56159187798484,578.2560404426692,589.1096334932404,1.3785434961308012,140
461,0,24,4,1,E8,4,8,ZZ.00.024,10.0,J1,0,0.06817692390602849,69.83737975077953,4.7686884512839605,111.02799310960197,578.5524565850483,589.1096334932404,1.3811949252547748,140
484,0,25,4,1,F7,5,7,ZZ.00.025,10.0,J1,4,0.07090400086226963,69.82411549816638,4.959122391988387,109.49361380640231,578.8448054618392,589.1096334932404,1.3838463543787485,140
387,0,26,4,1,B6,1,6,ZZ.00.026,10.0,J1,15,0.07363107781851076,69.81033196750832,5.149519451976719,107.9584647551833,579.1330850178082,589.1096334932404,1.3864977835027221,140
410,0,27,4,1,C5,2,5,ZZ.00.027,10.0,J1,19,0.07635815477475191,69.79602926131267,5.339878215276661,106.42255674815371,579.4172932263293,589.1096334932404,1.3891492126266958,140
433,0,28,4,1,D4,3,4,ZZ.00.028,10.0,J1,23,0.07908523173099305,69.78120748594786,5.530197266200728,104.88590058285784,579.697428089398,589.1096334932404,1.3918006417506694,140
456,0,29,4,1,E3,4,3,ZZ.00.029,10.0,J1,27,0.08181230868723419,69.76586675164262,5.720475189356774,103.34850706209966,579.9734876376464,589.1096334932404,1.394452070874643,140
485,0,30,4,1,F8,5,8,ZZ.00.030,10.0,J1,1,0.08453938564347534,69.75000717248513,5.910710569658521,101.81038699386667,580.2454699303555,589.1096334932404,1.3971034999986167,140
505,0,31,4,1,F2,5,2,ZZ.00.031,10.0,J1,31,0.08726646259971647,69.7336288664222,6.1009019923360714,100.27155119125418,580.5133730554704,589.1096334932404,1.3997549291225904,140
641,0,32,6,1,B4,1,4,ZZ.00.032,9.0,J1,25,0.08999353955595761,69.71673195525834,6.291048042946446,98.73201047238908,580.7771951296126,589.1096334932404,1.402406358246564,140
664,0,33,6,1,C3,2,3,ZZ.00.033,9.0,J1,29,0.09272061651219875,69.69931656465498,6.481147307384094,97.19177566035393,581.0369342980939,589.1096334932404,1.4050577873705377,140
693,0,34,6,1,D8,3,8,ZZ.00.034,9.0,J1,3,0.09544769346843988,69.68138282412939,6.671198371891408,95.65085758311075,581.2925887349292,589.1096334932404,1.4077092164945113,140
716,0,35,6,1,E7,4,7,ZZ.00.035,9.0,J1,7,0.09817477042468103,69.66293086705379,6.861199823069242,94.10926707342504,581.5441566428492,589.1096334932404,1.410360645618485,140
739,0,36,6,1,F6,5,6,ZZ.00.036,9.0,J1,11,0.10090184738092217,69.64396083065435,7.051150247887421,92.5670149687895,581.7916362533135,589.1096334932404,1.4130120747424586,140
642,0,37,6,1,B5,1,5,ZZ.00.037,9.0,J1,18,0.10362892433716331,69.62447285601019,7.24104823369525,91.02411211134788,582.0350258265225,589.1096334932404,1.4156635038664322,140
665,0,38,6,1,C4,2,4,ZZ.00.038,9.0,J1,22,0.10635600129340445,69.60446708805227,7.430892368232024,89.48056934781883,582.27432365143,589.1096334932404,1.418314932990406,140
688,0,39,6,1,D3,3,3,ZZ.00.039,9.0,J1,26,0.10908307824964558,69.58394367556238,7.620681239637519,87.93639752941951,582.5095280457547,589.1096334932404,1.4209663621143795,140
717,0,40,6,1,E8,4,8,ZZ.00.040,9.0,J1,0,0.11181015520588672,69.56290277117198,7.810413436462508,86.39160751178942,582.7406373559929,589.1096334932404,1.4236177912383532,140
740,0,41,6,1,F7,5,7,ZZ.00.041,9.0,J1,4,0.11453723216212787,69.5413445313611,8.000087547679247,84.84621015491408,582.9676499574297,589.1096334932404,1.4262692203623268,140
643,0,42,6,1,B6,1,6,ZZ.00.042,9.0,J1,15,0.117264309118369,69.51926911645718,8.189702162691967,83.30021632304856,583.1905642541495,589.1096334932404,1.4289206494863005,140
666,0,43,6,1,C5,2,5,ZZ.00.043,9.0,J1,19,0.11999138607461014,69.49667669063385,8.379255871347375,81.75363688464128,583.4093786790492,589.1096334932404,1.4315720786102741,140
689,0,44,6,1,D4,3,4,ZZ.00.044,9.0,J1,23,0.12271846303085128,69.47356742190969,8.568747263945133,80.20648271225747,583.6240916938474,589.1096334932404,1.4342235077342478,140
712,0,45,6,1,E3,4,3,ZZ.00.045,9.0,J1,27,0.12544553998709243,69.44994148214708,8.758174931248343,78.65876468250279,583.834701789096,589.1096334932404,1.4368749368582214,140
741,0,46,6,1,F8,5,8,ZZ.00.046,9.0,J1,1,0.12817261694333357,69.42579904705077,8.947537464494026,77.11049367594686,584.041207484191,589.1096334932404,1.439526365982195,140
761,0,47,6,1,F2,5,2,ZZ.00.047,9.0,J1,31,0.1308996938995747,69.40114029616673,9.136833455403611,75.56168057704677,584.2436073273822,589.1096334932404,1.4421777951061687,140
897,0,48,8,1,B4,1,4,ZZ.00.048,8.0,J1,25,0.13362677085581584,69.3759654128807,9.326061496193386,74.01233627407056,584.4418998957842,589.1096334932404,1.4448292242301424,140
920,0,49,8,1,C3,2,3,ZZ.00.049,8.0,J1,29,0.13635384781205698,69.35027458441688,9.515220179584992,72.46247165902065,584.6360837953861,589.1096334932404,1.447480653354116,140
949,0,50,8,1,D8,3,8,ZZ.00.050,8.0,J1,3,0.13908092476829811,69.32406800183654,9.704308098815867,70.91209762755733,584.8261576610606,589.1096334932404,1.4501320824780897,140
972,0,51,8,1,E7,4,7,ZZ.00.051,8.0,J1,7,0.14180800172453925,69.29734586003656,9.893323847649722,69.36122507892209,585.0121201565751,589.1096334932403,1.4527835116020633,140
995,0,52,8,1,F6,5,6,ZZ.00.052,8.0,J1,11,0.1445350786807804,69.270108357748,10.082266020387,67.80986491586104,585.1939699745997,589.1096334932404,1.455434940726037,140
898,0,53,8,1,B5,1,5,ZZ.00.053,8.0,J1,18,0.14726215563702152,69.24235569753468,10.27113321187532,66.25802804454828,585.371705836717,589.1096334932404,1.4580863698500106,140
921,0,54,8,1,C4,2,4,ZZ.00.054,8.0,J1,22,0.1499892325932627,69.21408808579153,10.459924017519935,64.70572537450917,585.5453264934309,589.1096334932404,1.4607377989739843,140
944,0,55,8,1,D3,3,3,ZZ.00.055,8.0,J1,26,0.15271630954950383,69.18530573274325,10.648637033294168,63.15296781854368,585.7148307241758,589.1096334932404,1.463389228097958,140
899,0,56,8,1,B6,1,6,ZZ.00.056,8.0,J1,15,0.15544338650574496,69.15600885244257,10.837270855749871,61.599766292649676,585.8802173373248,589.1096334932404,1.4660406572219316,140
922,0,57,8,1,C5,2,5,ZZ.00.057,8.0,J1,19,0.1581704634619861,69.12619766276875,11.025824082027846,60.046131715946146,586.0414851701979,589.1096334932404,1.4686920863459052,140
945,0,58,8,1,D4,3,4,ZZ.00.058,8.0,J1,23,0.16089754041822724,69.09587238542593,11.214295309868291,58.49207501059645,586.1986330890705,589.1096334932404,1.4713435154698788,140
968,0,59,8,1,E3,4,3,ZZ.00.059,8.0,J1,27,0.16362461737446837,69.06503324594154,11.40268313762121,56.93760710173157,586.3516599891816,589.1096334932404,1.4739949445938525,140
997,0,60,8,1,F8,5,8,ZZ.00.060,8.0,J1,1,0.16635169433070954,69.03368047366449,11.590986164256861,55.38273891737327,586.500564794741,589.1096334932404,1.4766463737178261,140
1017,0,61,8,1,F2,5,2,ZZ.00.061,8.0,J1,31,0.16907877128695067,69.00181430176363,11.779202989376158,53.827481388357256,586.6453464589368,589.1096334932404,1.4792978028417998,140
973,0,62,8,1,E8,4,8,ZZ.00.062,8.0,J1,0,0.17180584824319178,68.96943496722588,11.967332213221082,52.27184544825638,586.7860039639439,589.1096334932404,1.4819492319657734,140
996,0,63,8,1,F7,5,7,ZZ.00.063,8.0,J1,4,0.17453292519943295,68.93654271085457,12.155372436685123,50.715842033303744,586.9225363209297,589.1096334932404,1.484600661089747,140
1153,0,64,10,1,B4,1,4,ZZ.00.064,7.0,J1,25,0.17726000215567408,68.90313777726753,12.343322261323637,49.15948208231582,587.0549425700617,589.1096334932404,1.4872520902137207,140
1176,0,65,10,1,C3,2,3,ZZ.00.065,7.0,J1,29,0.17998707911191522,68.86922041489542,12.531180289364286,47.60277653661557,587.1832217805146,589.1096334932404,1.4899035193376944,140
1205,0,66,10,1,D8,3,8,ZZ.00.066,7.0,J1,3,0.18271415606815636,68.83479087597975,12.718945123717411,46.04573633995549,587.3073730504763,589.1096334932404,1.492554948461668,140
1154,0,67,10,1,B5,1,5,ZZ.00.067,7.0,J1,18,0.1854412330243975,68.79984941657108,12.906615367986436,44.48837243844071,587.4273955071543,589.1096334932404,1.4952063775856417,140
1177,0,68,10,1,C4,2,4,ZZ.00.068,7.0,J1,22,0.18816830998063863,68.7643962965271,13.094189626478236,42.93069578045203,587.543288306782,589.1096334932404,1.4978578067096153,140
1200,0,69,10,1,D3,3,3,ZZ.00.069,7.0,J1,26,0.19089538693687977,68.72843177951067,13.281666504213538,41.37271731656894,587.6550506346247,589.1096334932404,1.500509235833589,140
1155,0,70,10,1,B6,1,6,ZZ.00.070,7.0,J1,15,0.1936224638931209,68.6919561329879,13.469044606937278,39.81444799949264,587.7626817049852,589.1096334932404,1.5031606649575626,140
1178,0,71,10,1,C5,2,5,ZZ.00.071,7.0,J1,19,0.19634954084936207,68.65496962822613,13.656322541128977,38.25589878396909,587.8661807612092,589.1096334932404,1.5058120940815363,140
1201,0,72,10,1,D4,3,4,ZZ.00.072,7.0,J1,23,0.19907661780560318,68.61747254029194,13.843498914013104,36.697080626711916,587.965547075691,589.1096334932404,1.50846352320551,140
1224,0,73,10,1,E3,4,3,ZZ.00.073,7.0,J1,27,0.20180369476184434,68.57946514804907,14.030572333569435,35.138004486325435,588.0607799498781,589.1096334932404,1.5111149523294836,140
1253,0,74,10,1,F8,5,8,ZZ.00.074,7.0,J1,1,0.20453077171808545,68.54094773415636,14.217541408543399,33.57868132322761,588.1518787142766,589.1096334932404,1.5137663814534572,140
1273,0,75,10,1,F2,5,2,ZZ.00.075,7.0,J1,31,0.20725784867432662,68.50192058506568,14.404404748456441,32.01912209957298,588.2388427284556,589.1096334932404,1.5164178105774309,140
1229,0,76,10,1,E8,4,8,ZZ.00.076,7.0,J1,0,0.20998492563056778,68.46238399101976,14.591160963616343,30.459337779175616,588.3216713810516,589.1096334932404,1.5190692397014045,140
1252,0,77,10,1,F7,5,7,ZZ.00.077,7.0,J1,4,0.2127120025868089,68.42233824605003,14.77780866512756,28.899339327432035,588.4003640897735,589.1096334932404,1.5217206688253782,140
1228,0,78,10,1,E7,4,7,ZZ.00.078,7.0,J1,7,0.21543907954305005,68.38178364797446,14.96434646490158,27.33913771124411,588.4749203014055,589.1096334932404,1.5243720979493518,140
1251,0,79,10,1,F6,5,6,ZZ.00.079,7.0,J1,11,0.21816615649929116,68.34072049839534,15.150772975667198,25.77874389894198,588.5453394918125,589.1096334932404,1.5270235270733254,140
1409,0,80,12,1,B4,1,4,ZZ.00.080,6.0,J1,25,0.22089323345553233,68.299149102697,15.337086810980885,24.218168860206923,588.6116211659421,589.1096334932404,1.529674956197299,140
1410,0,81,12,1,B5,1,5,ZZ.00.081,6.0,J1,18,0.22362031041177344,68.2570697700436,15.523286585237047,22.657423565994268,588.6737648578295,589.1096334932404,1.5323263853212727,140
1433,0,82,12,1,C4,2,4,ZZ.00.082,6.0,J1,22,0.2263473873680146,68.21448281337678,15.709370913678379,21.096518988456246,588.7317701306001,589.1096334932404,1.5349778144452464,140
1456,0,83,12,1,D3,3,3,ZZ.00.083,6.0,J1,26,0.22907446432425574,68.17138854941335,15.895338412406124,19.535466100864856,588.7856365764725,589.1096334932404,1.53762924356922,140
1411,0,84,12,1,B6,1,6,ZZ.00.084,6.0,J1,15,0.23180154128049688,68.12778729864297,16.081187698390384,17.974275877534733,588.8353638167619,589.1096334932404,1.5402806726931937,140
1434,0,85,12,1,C5,2,5,ZZ.00.085,6.0,J1,19,0.234528618236738,68.08367938532567,16.26691738948041,16.412959293745995,588.880951501882,589.1096334932404,1.5429321018171673,140
1457,0,86,12,1,D4,3,4,ZZ.00.086,6.0,J1,23,0.23725569519297915,68.03906513748956,16.45252610441487,14.851527325667076,588.9223993113482,589.1096334932404,1.545583530941141,140
1480,0,87,12,1,E3,4,3,ZZ.00.087,6.0,J1,27,0.23998277214922029,67.9939448869283,16.638012462832116,13.289990950277579,588.9597069537792,589.1096334932404,1.5482349600651146,140
