,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
641,0,32,6,1,B4,1,4,ZZ.00.032,5.0,J1,25,0.1349903093339364,69.36318447994461,9.420649595498832,52.41923990736455,413.28094425322496,416.5920253621078,1.4446331837297024,132
664,0,33,6,1,C3,2,3,ZZ.00.033,5.0,J1,29,0.13908092476829811,69.32406800183654,9.704308098815867,50.78262809301037,413.48523586613106,416.59202536210773,1.4485922466812253,132
693,0,34,6,1,D8,3,8,ZZ.00.034,5.0,J1,3,0.14317154020265982,69.28379151638293,9.987804218865405,49.14522030367001,413.68304644571407,416.59202536210785,1.4525513096327483,132
716,0,35,6,1,E7,4,7,ZZ.00.035,5.0,J1,7,0.14726215563702155,69.24235569753468,10.271133211875322,47.507042204333466,413.87437289145936,416.5920253621078,1.4565103725842712,132
642,0,36,6,1,B5,1,5,ZZ.00.036,5.0,J1,18,0.15135277107138326,69.19976123864194,10.55429033687004,45.8681194720647,414.05921220448585,416.5920253621078,1.4604694355357941,132
665,0,37,6,1,C4,2,4,ZZ.00.037,5.0,J1,22,0.15544338650574496,69.15600885244257,10.837270855749871,44.22847779559917,414.2375614875928,416.59202536210773,1.464428498487317,132
643,0,38,6,1,B6,1,6,ZZ.00.038,5.0,J1,15,0.15953400194010667,69.1110992710501,11.120070033370299,42.5881428749412,414.4094179453052,416.5920253621078,1.46838756143884,132
666,0,39,6,1,C5,2,5,ZZ.00.039,5.0,J1,19,0.16362461737446837,69.06503324594154,11.40268313762121,40.94714042096111,414.5747788839176,416.5920253621078,1.472346624390363,132
689,0,40,6,1,D4,3,4,ZZ.00.040,5.0,J1,23,0.16771523280883008,69.01781154794483,11.685105439506076,39.305496154992255,414.7336417115363,416.5920253621078,1.4763056873418858,132
712,0,41,6,1,E3,4,3,ZZ.00.041,5.0,J1,27,0.1718058482431918,68.96943496722588,11.967332213221086,37.66323580842785,414.8860039381201,416.5920253621078,1.4802647502934088,132
741,0,42,6,1,F8,5,8,ZZ.00.042,5.0,J1,1,0.17589646367755352,68.91990431327544,12.249358736234221,36.02038512231764,415.03186317551933,416.59202536210785,1.4842238132449317,132
761,0,43,6,1,F2,5,2,ZZ.00.043,5.0,J1,31,0.17998707911191522,68.86922041489542,12.531180289364286,34.376969846964485,415.171217137513,416.59202536210785,1.4881828761964546,132
688,0,44,6,1,D3,3,3,ZZ.00.044,5.0,J1,26,0.18407769454627693,68.81738412018514,12.812792156859867,32.73301574152067,415.304063639845,416.59202536210785,1.4921419391479775,132
717,0,45,6,1,E8,4,8,ZZ.00.045,5.0,J1,0,0.18816830998063863,68.7643962965271,13.094189626478236,31.088548573584188,415.4304006002581,416.5920253621078,1.4961010020995005,132
740,0,46,6,1,F7,5,7,ZZ.00.046,5.0,J1,4,0.19225892541500034,68.71025783057243,13.375367989564221,29.443594118794895,415.55022603852683,416.59202536210785,1.5000600650510234,132
739,0,47,6,1,F6,5,6,ZZ.00.047,5.0,J1,11,0.19634954084936207,68.65496962822613,13.656322541128977,27.79817816043041,415.66353807648807,416.5920253621078,1.5040191280025463,132
897,0,48,8,1,B4,1,4,ZZ.00.048,4.0,J1,25,0.20044015628372377,68.59853261463184,13.937048579928721,26.152326489002064,415.77033493807096,416.59202536210785,1.5079781909540693,132
898,0,49,8,1,B5,1,5,ZZ.00.049,4.0,J1,18,0.20453077171808548,68.54094773415636,14.2175414085434,24.50606490185061,415.87061494932453,416.5920253621078,1.5119372539055922,132
921,0,50,8,1,C4,2,4,ZZ.00.050,4.0,J1,22,0.20862138715244719,68.48221595037394,14.497796333455298,22.85941920274189,415.96437653844396,416.59202536210785,1.5158963168571151,132
